employee_id,age,years_experience,education_level,department,company_size,region,gender,ethnicity,marital_status,remote_status,training_hours,certifications_count,job_level,performance_rating,manager_feedback_score,work_life_balance_score,salary_satisfaction,annual_income_usd,bonus_percent,commute_time_minutes,overtime_hours_monthly,job_satisfaction_score,promoted_next_year,left_company
25,53,13,master,IT,medium,south,female,asian,single,on-site,29.0,1,executive,3.5,2.3,7.9,7.0,79071.0,3.9,23.0,5,5.6,no,no
26,32,9,bachelor,Finance,medium,north,male,other,married,hybrid,8.0,1,mid,3.6,3.7,6.2,4.8,88546.0,14.1,25.0,1,4.5,no,no
27,42,1,master,HR,medium,east,female,white,single,remote,27.0,2,entry,4.9,6.6,1.3,2.1,60543.0,15.5,10.0,3,3.8,no,yes
28,64,8,high school,IT,small,east,male,other,divorced,on-site,0.0,1,mid,3.9,7.5,5.9,9.2,57540.0,2.5,38.0,5,8.3,no,no
29,45,2,bachelor,Sales,large,east,male,white,divorced,on-site,0.0,1,senior,2.8,1.4,8.3,3.5,64880.0,13.0,51.0,3,3.5,no,yes
30,47,20,bachelor,Operations,medium,south,female,asian,single,hybrid,18.0,3,senior,3.6,5.8,3.5,3.0,79963.0,19.2,18.0,4,4.1,no,yes
31,62,25,master,IT,medium,south,female,white,married,remote,26.0,1,entry,3.9,6.1,9.1,8.3,58548.0,3.9,42.0,5,5.6,no,no
32,48,7,bachelor,Operations,small,east,male,white,married,hybrid,23.0,1,mid,3.9,1.7,3.1,9.8,87058.0,18.2,43.0,4,3.4,no,yes
33,36,1,master,HR,medium,west,male,white,married,remote,39.0,0,entry,3.8,5.5,1.7,6.9,60360.0,12.1,38.0,1,3.8,no,yes
34,35,5,high school,HR,medium,south,male,black,divorced,remote,21.0,0,senior,2.5,7.4,2.4,6.6,58809.0,11.8,24.0,9,5.5,no,yes
35,64,27,master,IT,medium,south,male,black,divorced,on-site,19.0,0,entry,2.1,1.5,8.5,3.9,116929.0,1.0,28.0,3,2.8,no,yes
36,23,28,master,Operations,small,east,female,asian,divorced,remote,32.0,2,mid,3.0,7.8,4.8,1.2,45308.0,15.0,36.0,10,3.8,no,yes
37,57,25,master,HR,large,west,nonbinary,white,married,on-site,16.0,1,entry,3.3,6.2,8.2,2.7,85634.0,9.6,35.0,2,5.5,no,no
38,27,24,bachelor,Sales,small,east,male,asian,married,remote,24.0,0,entry,2.2,8.5,5.8,6.3,33871.0,14.4,27.0,2,5.3,no,no
39,41,11,bachelor,Finance,medium,south,male,black,married,on-site,24.0,1,senior,4.4,3.0,5.3,2.4,83164.0,16.2,35.0,4,3.3,no,yes
40,29,4,PhD,Finance,large,east,female,white,single,remote,10.0,0,entry,3.0,8.5,8.3,9.0,123836.0,10.5,26.0,7,4.5,no,no
41,59,33,high school,HR,medium,east,male,other,single,hybrid,24.0,0,entry,4.7,1.9,4.8,2.7,91141.0,5.3,29.0,5,3.7,no,yes
42,38,36,bachelor,Operations,large,east,female,black,single,remote,42.0,1,entry,2.5,4.6,8.2,5.7,96761.0,2.8,28.0,2,3.8,no,yes
43,24,14,bachelor,HR,medium,west,male,black,divorced,hybrid,31.0,1,mid,2.2,2.8,1.9,5.6,68078.0,3.2,41.0,6,1.0,no,yes
44,45,35,master,Operations,medium,east,female,black,divorced,remote,12.0,0,mid,3.4,8.9,6.7,6.4,88845.0,17.3,16.0,6,6.5,no,no
45,34,14,high school,Sales,large,south,female,white,married,remote,43.0,1,entry,2.6,7.3,7.3,3.9,74973.0,2.5,36.0,4,5.8,no,no
46,29,22,bachelor,Operations,small,east,female,hispanic,single,on-site,27.0,3,mid,4.8,1.2,9.1,8.9,110519.0,7.7,34.0,4,5.7,no,no
47,46,5,master,HR,medium,west,female,other,married,remote,24.0,1,entry,2.0,1.1,3.0,5.0,47867.0,6.7,7.0,3,3.1,no,yes
48,22,20,high school,Sales,large,north,male,other,single,remote,19.0,1,senior,3.2,3.6,6.4,7.3,93750.0,17.3,39.0,1,5.3,no,no
49,40,22,PhD,IT,medium,west,female,asian,single,remote,27.0,2,senior,4.8,2.3,4.9,6.7,78554.0,9.6,40.0,5,6.4,no,no
50,48,15,high school,Finance,medium,east,female,white,married,hybrid,21.0,3,executive,3.2,6.7,4.4,2.1,51744.0,19.9,26.0,4,5.4,no,no
51,27,14,bachelor,HR,medium,north,male,black,married,on-site,20.0,0,senior,2.3,7.0,2.0,6.6,64511.0,14.7,35.0,2,5.9,no,yes
52,64,24,high school,HR,large,east,male,hispanic,single,on-site,19.0,1,entry,2.9,9.5,2.2,6.0,37981.0,17.0,33.0,2,5.9,no,yes
53,28,35,high school,HR,large,west,male,white,single,remote,30.0,3,entry,3.5,9.6,8.5,9.1,30000.0,2.0,52.0,8,9.0,no,no
54,55,10,PhD,Sales,medium,north,male,white,divorced,remote,29.0,1,senior,2.6,6.9,7.7,8.9,46009.0,5.1,35.0,6,5.3,no,no
55,34,14,bachelor,IT,medium,north,male,hispanic,married,hybrid,19.0,1,entry,3.4,1.1,4.4,2.4,62239.0,2.7,31.0,4,3.4,no,yes
56,37,3,bachelor,Operations,large,east,female,black,married,remote,5.0,3,entry,4.5,4.2,8.5,1.7,71624.0,9.3,41.0,4,6.5,no,no
57,56,20,high school,IT,small,east,male,white,married,on-site,20.0,1,entry,4.6,5.6,1.7,3.7,43804.0,14.4,46.0,3,2.5,no,yes
58,60,12,bachelor,Sales,small,west,female,other,married,on-site,13.0,0,mid,2.1,5.5,6.6,9.9,63668.0,3.4,51.0,3,8.4,no,no
59,24,21,bachelor,HR,large,east,male,other,single,hybrid,15.0,0,mid,2.5,6.4,8.8,1.2,74728.0,2.6,24.0,5,4.1,no,no
60,22,18,bachelor,Finance,large,north,male,hispanic,divorced,hybrid,19.0,1,entry,2.8,9.6,8.5,7.1,58472.0,12.3,34.0,4,7.8,no,no
61,26,33,bachelor,HR,large,south,female,black,married,on-site,9.0,2,entry,3.8,9.0,4.4,6.5,48383.0,4.6,24.0,7,3.3,no,yes
62,62,13,master,Operations,medium,south,female,hispanic,single,hybrid,4.0,0,senior,3.1,2.0,7.7,6.8,55373.0,9.6,53.0,7,5.9,no,no
63,24,3,bachelor,Finance,small,west,male,white,single,remote,23.0,0,entry,4.5,3.4,4.8,3.0,96732.0,1.0,30.0,5,5.5,no,no
64,49,26,bachelor,HR,medium,east,male,other,single,remote,20.0,0,executive,4.2,8.5,8.6,3.0,35466.0,13.6,40.0,5,5.7,yes,no
65,38,28,high school,Finance,small,west,male,asian,single,hybrid,20.0,1,entry,2.3,8.4,5.8,4.9,93087.0,10.8,28.0,4,2.6,no,yes
66,46,27,master,IT,small,south,female,hispanic,single,on-site,25.0,2,mid,3.9,3.5,7.9,1.9,97307.0,12.9,35.0,3,3.9,no,yes
67,64,34,bachelor,Sales,large,south,female,asian,married,hybrid,13.0,2,mid,2.3,7.6,1.7,1.7,62875.0,5.5,12.0,4,1.4,no,yes
68,54,7,bachelor,HR,small,east,male,asian,married,on-site,23.0,0,entry,2.8,7.0,6.3,1.8,79203.0,5.6,40.0,2,4.5,no,no
69,30,15,high school,Operations,large,north,female,other,divorced,hybrid,33.0,0,mid,2.5,5.3,6.0,6.2,54382.0,16.0,43.0,2,6.3,no,no
70,56,35,PhD,IT,medium,east,female,hispanic,married,hybrid,17.0,0,mid,2.5,2.8,6.5,4.6,75354.0,14.4,24.0,6,4.7,no,no
71,34,29,high school,HR,medium,south,male,asian,single,hybrid,39.0,0,senior,3.8,9.0,7.3,3.6,114529.0,11.6,12.0,7,2.5,no,yes
72,51,17,master,IT,small,north,nonbinary,white,divorced,remote,20.0,3,senior,3.7,7.1,9.3,3.8,95423.0,12.6,45.0,2,5.0,no,no
73,35,1,bachelor,Operations,medium,west,female,black,single,remote,11.0,0,entry,2.5,2.5,8.1,2.9,59930.0,1.9,44.0,4,4.2,no,no
74,28,12,high school,HR,small,south,male,black,single,on-site,28.0,1,entry,5.0,7.3,3.0,4.7,43616.0,17.1,38.0,7,6.8,yes,yes
75,34,3,master,Operations,large,west,male,other,married,hybrid,19.0,0,entry,3.3,7.7,8.4,2.8,64127.0,15.4,28.0,2,5.1,no,no
76,43,25,bachelor,Finance,large,north,male,hispanic,single,remote,31.0,1,entry,2.3,9.0,2.1,7.3,75466.0,11.8,27.0,6,5.8,no,yes
77,60,24,master,Operations,medium,west,male,hispanic,married,hybrid,24.0,1,mid,2.4,3.0,6.6,2.1,84432.0,18.4,43.0,5,3.7,no,yes
78,41,29,PhD,Finance,small,south,female,black,single,on-site,17.0,2,executive,3.8,9.9,8.9,9.5,67816.0,3.4,27.0,9,6.4,no,no
79,36,10,master,HR,large,east,male,white,divorced,remote,35.0,3,mid,4.9,2.4,1.9,1.8,105721.0,13.7,32.0,5,1.0,no,yes
80,38,6,high school,Finance,medium,west,female,black,single,on-site,15.0,1,senior,3.7,6.4,8.6,9.5,70652.0,19.3,30.0,3,6.0,no,no
81,44,30,master,HR,small,south,female,black,married,remote,0.0,2,mid,4.8,6.9,8.2,8.5,60493.0,6.2,33.0,5,8.8,no,no
82,46,9,bachelor,HR,medium,south,female,hispanic,single,hybrid,29.0,1,senior,3.3,4.8,5.5,7.1,80491.0,0.3,29.0,2,3.0,no,yes
83,45,38,master,Sales,large,north,female,asian,married,on-site,23.0,0,entry,3.3,5.3,3.8,9.2,84001.0,14.7,30.0,15,4.2,no,yes
84,61,12,bachelor,HR,small,south,male,white,married,remote,33.0,2,senior,3.5,9.0,4.6,2.3,54743.0,0.1,48.0,8,3.3,no,yes
85,49,30,master,Finance,small,east,male,hispanic,divorced,remote,11.0,2,senior,4.1,6.8,9.7,2.6,51228.0,17.5,35.0,6,8.1,no,no
86,35,6,bachelor,Sales,large,east,female,black,married,hybrid,18.0,0,entry,3.1,5.5,2.8,3.3,37161.0,1.1,34.0,4,3.9,no,yes
87,21,35,bachelor,Sales,small,west,male,asian,divorced,on-site,16.0,0,entry,4.6,2.2,6.2,3.2,64221.0,13.1,38.0,10,5.9,no,no
88,45,19,high school,HR,small,west,male,white,divorced,on-site,29.0,3,executive,2.1,1.1,1.7,3.8,94335.0,7.5,19.0,3,1.0,no,yes
89,27,3,master,Operations,medium,west,female,other,single,on-site,27.0,2,senior,3.3,2.1,3.0,6.2,83322.0,4.1,40.0,3,4.6,no,yes
90,29,6,bachelor,Operations,large,west,female,white,divorced,hybrid,22.0,1,entry,3.5,9.6,7.9,1.3,92477.0,18.0,33.0,6,3.7,no,yes
91,44,0,bachelor,Sales,medium,east,male,white,married,remote,22.0,2,mid,3.8,7.9,3.7,4.4,56913.0,14.9,24.0,5,3.2,no,yes
92,21,12,master,HR,large,north,female,black,married,remote,8.0,2,mid,2.8,9.7,9.9,3.2,66732.0,6.8,29.0,6,6.1,no,no
93,64,21,bachelor,Operations,medium,west,female,black,divorced,on-site,28.0,1,mid,3.3,1.3,5.5,6.5,31885.0,5.7,35.0,5,3.3,no,yes
94,28,20,high school,HR,small,north,male,other,single,remote,28.0,1,entry,3.5,7.1,5.6,9.9,90157.0,14.7,31.0,6,5.8,no,no
95,44,21,bachelor,HR,large,south,male,other,divorced,on-site,43.0,1,entry,4.1,1.4,1.3,5.7,96855.0,16.7,41.0,6,1.0,no,yes
96,31,27,bachelor,Sales,medium,south,female,other,divorced,hybrid,25.0,1,mid,4.3,8.0,9.6,4.8,48669.0,14.3,22.0,8,6.0,yes,no
97,37,8,bachelor,Sales,small,west,male,hispanic,married,hybrid,26.0,0,senior,4.2,4.4,2.6,4.3,102515.0,12.8,19.0,2,2.8,no,yes
98,28,25,high school,IT,medium,south,male,hispanic,single,hybrid,25.0,3,senior,3.0,1.9,5.8,8.1,65310.0,4.6,22.0,5,1.0,no,yes
99,55,8,high school,Operations,medium,north,female,black,single,on-site,13.0,3,entry,5.0,6.1,4.6,1.6,48334.0,17.1,26.0,4,4.2,no,no
100,55,14,high school,Operations,small,north,female,black,single,remote,32.0,0,senior,4.5,3.5,4.7,9.6,63681.0,15.0,31.0,2,4.4,no,no
101,53,9,master,Operations,small,south,male,other,single,hybrid,19.0,2,entry,2.8,6.9,6.8,4.8,82568.0,10.3,27.0,6,5.5,no,no
102,25,23,high school,Finance,medium,west,male,hispanic,married,on-site,18.0,0,mid,2.6,6.9,7.0,3.8,68923.0,10.2,18.0,7,3.9,no,yes
103,62,7,bachelor,HR,large,north,male,asian,single,on-site,19.0,1,senior,2.9,7.3,2.4,9.8,58439.0,11.4,16.0,6,4.9,no,yes
104,59,23,PhD,Sales,medium,north,nonbinary,hispanic,single,hybrid,19.0,3,mid,3.4,9.9,5.5,9.4,81846.0,16.6,17.0,9,2.2,no,yes
105,61,15,high school,Operations,large,east,male,black,single,hybrid,15.0,3,entry,4.6,4.5,8.1,6.8,83689.0,14.8,27.0,4,4.1,no,no
106,48,25,bachelor,IT,small,west,female,hispanic,married,hybrid,22.0,3,entry,4.3,5.2,5.0,1.2,66522.0,17.1,22.0,5,2.4,no,yes
107,27,26,master,Operations,small,east,female,black,married,remote,19.0,1,mid,4.6,8.2,2.5,7.7,62865.0,10.1,26.0,3,4.6,yes,yes
108,29,36,PhD,HR,small,south,male,other,single,remote,18.0,2,senior,2.8,6.2,3.8,4.0,59088.0,12.5,43.0,0,3.7,no,yes
109,28,3,master,HR,small,south,nonbinary,other,married,on-site,25.0,0,executive,3.8,1.3,2.9,4.5,79571.0,17.1,18.0,8,4.1,no,yes
110,32,23,master,Sales,small,east,female,other,divorced,hybrid,21.0,0,senior,2.8,8.6,2.1,2.4,37915.0,4.6,33.0,5,1.5,no,yes
111,54,18,master,Finance,large,west,female,asian,single,hybrid,14.0,1,senior,2.3,1.5,4.4,5.7,54747.0,8.9,18.0,7,4.4,no,no
112,53,35,bachelor,Sales,large,north,male,asian,married,remote,12.0,1,senior,4.1,2.5,5.9,7.7,66759.0,12.4,17.0,7,8.1,no,no
113,43,38,master,Operations,large,south,female,black,single,hybrid,21.0,2,senior,2.4,1.9,1.7,3.5,54235.0,18.3,34.0,5,1.0,no,yes
114,44,9,high school,IT,small,west,female,white,single,on-site,13.0,1,entry,4.0,1.7,6.4,9.4,75080.0,0.3,37.0,2,5.8,no,no
115,57,24,PhD,Sales,large,west,nonbinary,asian,married,hybrid,12.0,1,senior,3.9,1.2,9.9,2.8,73267.0,4.3,38.0,6,6.8,no,no
116,55,17,bachelor,Finance,medium,south,male,black,divorced,remote,12.0,0,entry,4.4,1.5,9.7,1.6,119613.0,4.7,41.0,3,6.5,no,no
117,64,18,bachelor,Sales,small,south,female,hispanic,single,on-site,23.0,0,senior,2.4,5.0,8.5,6.8,54775.0,6.5,28.0,9,4.8,no,no
118,60,35,high school,HR,large,west,male,other,divorced,on-site,32.0,1,entry,4.4,3.3,3.4,8.6,69777.0,5.6,33.0,2,5.9,no,yes
119,42,9,master,Operations,medium,north,male,other,married,hybrid,23.0,1,senior,5.0,2.1,1.2,9.6,50861.0,11.8,26.0,3,4.6,no,yes
120,47,32,high school,Operations,small,east,male,other,single,on-site,29.0,1,senior,4.6,6.9,8.5,7.9,108796.0,17.7,43.0,11,8.6,no,no
121,55,4,master,Operations,medium,south,female,black,married,hybrid,19.0,1,executive,4.3,3.0,1.5,2.8,104024.0,12.7,21.0,6,3.3,no,yes
122,21,34,master,Operations,small,east,male,other,married,hybrid,21.0,2,senior,4.0,1.2,2.9,9.8,38642.0,4.8,35.0,1,5.5,no,yes
123,55,33,high school,Operations,large,west,female,asian,married,remote,37.0,4,entry,3.3,4.8,5.9,9.3,66711.0,17.3,19.0,8,4.6,no,no
124,57,32,master,Operations,medium,east,nonbinary,hispanic,married,on-site,28.0,2,mid,4.2,3.8,2.6,2.5,70721.0,12.6,31.0,8,1.5,no,yes
125,34,20,master,IT,large,north,male,other,single,hybrid,29.0,0,entry,4.2,3.9,8.5,6.0,63196.0,4.4,14.0,8,1.0,no,yes
126,23,16,bachelor,Finance,small,west,female,black,divorced,hybrid,17.0,5,entry,3.9,5.0,8.0,6.0,60322.0,7.2,32.0,3,4.3,no,no
127,21,21,bachelor,Operations,medium,north,male,hispanic,divorced,hybrid,20.0,0,entry,4.4,7.0,7.8,5.0,85418.0,15.8,50.0,8,4.8,no,no
128,25,36,high school,Finance,medium,west,male,other,single,on-site,24.0,0,entry,3.3,6.5,8.3,9.9,105757.0,14.8,24.0,7,2.8,no,yes
129,46,14,high school,Operations,medium,north,female,white,single,on-site,14.0,0,mid,2.4,9.4,3.0,1.5,86141.0,11.5,28.0,4,4.1,no,yes
130,34,34,bachelor,Sales,medium,west,female,other,divorced,on-site,0.0,0,senior,3.7,5.7,7.6,6.6,87283.0,2.9,39.0,6,7.5,no,no
131,59,27,PhD,Operations,large,north,female,asian,divorced,hybrid,24.0,2,senior,2.8,5.3,4.2,2.8,62903.0,16.1,30.0,7,1.6,no,yes
132,47,6,high school,HR,large,west,female,hispanic,single,on-site,30.0,2,entry,3.2,2.9,7.0,5.7,90347.0,6.2,42.0,2,7.9,no,no
133,29,31,master,IT,large,north,male,asian,married,hybrid,21.0,2,entry,2.1,7.8,2.1,8.0,90281.0,15.4,34.0,8,5.3,no,yes
134,35,10,bachelor,Sales,large,west,male,white,single,on-site,14.0,1,entry,3.1,2.3,7.4,3.2,60507.0,13.0,39.0,14,5.2,no,no
135,35,9,bachelor,Sales,large,north,female,white,divorced,on-site,17.0,1,entry,4.4,5.4,9.7,4.5,65338.0,5.3,10.0,6,5.3,no,no
136,46,8,master,HR,medium,south,male,asian,married,hybrid,0.0,2,entry,3.6,4.8,1.4,9.6,38496.0,4.2,31.0,2,2.0,no,yes
137,62,13,master,Operations,large,east,male,hispanic,divorced,on-site,17.0,1,entry,2.0,6.9,1.8,7.9,42948.0,2.6,19.0,3,5.3,no,yes
138,33,12,bachelor,IT,medium,west,female,white,married,hybrid,9.0,0,mid,3.4,9.3,2.1,6.2,61325.0,4.8,26.0,5,6.2,no,yes
139,52,24,bachelor,Sales,medium,north,male,white,divorced,on-site,13.0,0,mid,2.9,9.5,4.9,3.0,48605.0,3.2,34.0,8,4.6,no,no
140,59,1,bachelor,IT,medium,south,male,other,married,on-site,8.0,1,mid,3.4,2.5,3.6,4.8,86088.0,12.3,28.0,5,3.3,no,yes
141,52,34,high school,Sales,medium,west,female,black,single,on-site,7.0,1,entry,3.2,3.4,8.3,8.0,66821.0,12.0,22.0,1,5.1,no,no
142,24,6,high school,Operations,small,west,female,white,single,on-site,10.0,0,senior,4.8,8.3,5.3,8.4,80652.0,11.7,43.0,4,4.5,yes,no
143,50,20,bachelor,Sales,large,west,female,hispanic,married,remote,26.0,1,senior,2.1,5.7,5.4,3.2,45584.0,12.8,40.0,7,4.6,no,no
144,57,17,bachelor,Sales,medium,east,female,hispanic,married,hybrid,15.0,0,entry,4.1,5.1,7.5,7.0,95975.0,16.3,16.0,12,3.8,no,yes
145,43,2,master,Finance,small,north,male,other,single,remote,9.0,0,entry,4.6,7.4,4.3,1.9,79791.0,18.3,38.0,1,5.4,yes,no
146,59,38,bachelor,Operations,medium,north,female,hispanic,single,on-site,28.0,2,entry,4.9,6.4,4.2,1.2,78089.0,4.6,32.0,6,8.1,no,no
147,35,10,bachelor,HR,small,west,female,other,married,on-site,21.0,0,entry,2.5,9.7,7.8,5.9,88937.0,11.8,32.0,2,8.6,no,no
148,63,38,bachelor,HR,small,west,male,white,married,hybrid,0.0,1,mid,3.6,6.3,8.0,3.0,76375.0,1.6,46.0,1,4.5,no,no
149,49,23,master,Operations,small,west,male,white,single,hybrid,30.0,3,entry,2.1,5.2,1.1,1.7,49732.0,2.4,32.0,12,2.9,no,yes
150,56,18,master,HR,medium,south,female,white,divorced,hybrid,21.0,2,mid,3.5,5.9,2.3,7.6,82538.0,13.1,37.0,5,6.2,no,yes
151,33,3,bachelor,Operations,medium,west,female,white,single,hybrid,28.0,2,entry,2.4,8.3,2.9,5.5,54252.0,9.7,32.0,9,4.3,no,yes
152,52,25,master,HR,large,east,female,black,married,on-site,18.0,0,senior,4.5,6.5,4.2,8.2,74218.0,15.2,32.0,3,6.0,no,no
153,27,37,high school,Finance,large,north,female,black,married,hybrid,36.0,1,entry,2.3,6.8,3.6,7.0,54543.0,8.5,21.0,4,6.0,no,yes
154,42,31,bachelor,HR,medium,east,female,white,divorced,remote,16.0,3,mid,3.5,9.7,7.0,7.6,103244.0,2.6,55.0,3,7.1,no,no
155,48,38,bachelor,Sales,medium,west,nonbinary,hispanic,single,hybrid,0.0,0,entry,3.6,6.6,8.5,3.8,83393.0,17.4,0.0,1,5.7,no,no
156,22,35,bachelor,Operations,medium,south,female,other,married,hybrid,11.0,0,entry,4.9,4.4,2.7,3.4,90149.0,1.7,23.0,4,4.9,no,yes
157,62,39,master,IT,large,west,male,asian,single,remote,25.0,3,senior,4.0,7.2,6.1,6.4,54815.0,3.8,25.0,6,8.7,no,no
158,26,36,master,IT,small,west,female,other,married,remote,22.0,3,mid,2.9,6.9,4.3,2.8,75978.0,5.5,39.0,5,3.7,no,yes
159,48,32,high school,Operations,small,west,male,asian,divorced,remote,19.0,3,entry,2.7,1.1,5.6,8.3,73804.0,19.9,16.0,4,6.2,no,no
160,48,35,bachelor,Finance,large,west,female,asian,single,remote,10.0,2,mid,2.4,5.2,6.6,5.7,72206.0,8.3,28.0,6,1.7,no,yes
161,64,2,bachelor,HR,medium,west,female,white,single,hybrid,20.0,3,mid,4.3,7.7,9.0,3.0,31251.0,10.0,38.0,4,6.6,yes,no
162,64,8,high school,Finance,small,north,female,asian,divorced,remote,20.0,1,mid,4.1,5.5,2.7,6.6,109286.0,15.4,18.0,2,1.0,no,yes
163,40,7,high school,IT,small,east,female,white,married,on-site,20.0,0,mid,3.8,8.0,1.8,9.5,69231.0,12.7,29.0,7,3.3,no,yes
164,50,32,bachelor,Operations,large,south,male,black,married,hybrid,25.0,2,senior,2.1,5.1,6.6,1.7,80036.0,16.8,28.0,3,1.8,no,yes
165,31,5,high school,Operations,large,west,male,hispanic,single,on-site,22.0,0,entry,4.3,9.8,4.5,2.0,43705.0,9.7,24.0,3,8.0,yes,no
166,48,38,high school,Finance,large,south,male,asian,divorced,hybrid,17.0,3,entry,3.9,3.6,2.5,8.6,99275.0,19.4,30.0,4,3.0,no,yes
167,45,3,high school,Finance,medium,north,female,hispanic,single,hybrid,10.0,0,entry,4.9,1.8,2.1,2.0,97588.0,15.9,26.0,4,1.5,no,yes
168,59,12,bachelor,HR,medium,east,female,white,single,on-site,34.0,1,senior,3.8,4.9,6.0,1.4,87088.0,8.0,40.0,5,3.1,no,yes
169,53,1,master,Sales,large,west,female,asian,married,remote,40.0,0,senior,2.9,5.9,3.7,4.1,75457.0,7.6,35.0,1,1.0,no,yes
170,21,4,bachelor,Sales,large,north,male,other,married,remote,37.0,0,senior,3.1,4.1,10.0,5.2,116710.0,18.6,28.0,1,5.8,no,no
171,47,26,PhD,HR,small,north,female,black,married,on-site,27.0,0,senior,2.5,3.2,4.7,6.1,89662.0,13.7,31.0,5,3.7,no,yes
172,33,31,bachelor,Sales,large,east,female,black,married,remote,3.0,0,executive,4.2,7.0,2.9,5.6,42678.0,12.4,26.0,2,2.5,no,yes
173,61,20,master,IT,small,west,male,asian,married,hybrid,2.0,1,mid,4.1,4.4,6.7,9.2,74490.0,15.2,43.0,2,7.9,no,no
174,23,7,master,Sales,small,east,female,black,divorced,hybrid,15.0,2,senior,2.6,6.7,3.2,7.9,81675.0,11.2,35.0,7,7.2,no,yes
175,59,37,bachelor,HR,medium,east,female,other,single,hybrid,19.0,2,executive,2.5,8.0,5.4,9.9,72101.0,3.2,29.0,2,3.5,no,yes
176,26,7,bachelor,Sales,medium,south,female,hispanic,divorced,remote,19.0,3,entry,2.2,7.8,5.3,5.3,81462.0,6.4,34.0,5,3.6,no,yes
